,arr_delay
1718,-27.0
1719,-15.0
1720,-14.0
1721,-4.0
1722,-15.0
1723,-3.0
1724,132.0
1725,-9.0
1726,6.0
1727,-11.0
1728,-1.0
1729,-2.0
1730,-9.0
1731,-18.0
1732,-20.0
1733,40.0
1734,-14.0
1735,69.0
1736,-6.0
1737,-30.0
1738,-13.0
1739,45.0
1740,-6.0
1741,108.0
1742,-5.0
1743,9.0
1744,16.0
1745,120.0
1746,80.0
1747,-29.0
1748,-25.0
1749,-9.0
1750,-4.0
1751,32.0
1752,-10.0
1753,96.0
1754,-15.0
1755,-1.0
1756,-4.0
1757,-15.0
1758,-10.0
1759,58.0
1760,20.0
1761,-13.0
1762,-7.0
1763,-26.0
1764,2.0
1765,11.0
1766,-16.0
1767,-22.0
1768,-13.0
1769,39.0
1770,2.0
1771,-4.0
1772,-15.0
1773,-2.0
1774,4.0
1775,-2.0
1776,-8.0
1777,6.0
1778,-3.0
1779,-16.0
1780,16.0
1781,9.0
1782,-20.0
1783,59.0
1784,-19.0
1785,-34.0
1786,0.0
1787,-6.0
1788,-14.0
1789,-25.0
1790,5.0
1791,24.0
1792,-6.0
1793,-8.0
1794,-11.0
1795,-10.0
1796,45.0
1797,0.0
1798,-8.0
1799,-10.0
1800,-6.0
1801,35.0
1802,-43.0
1803,45.0
1804,-20.0
1805,5.0
1806,-16.0
1807,-6.0
1808,-9.0
1809,-15.0
1810,-16.0
1811,-8.0
1812,26.0
1813,-18.0
1814,4.0
1815,29.0
1816,-4.0
1817,-1.0
1818,-10.0
1819,-18.0
1820,-19.0
1821,-38.0
1822,-25.0
1823,5.0
1824,1.0
1825,30.0
1826,-27.0
1827,38.0
1828,-7.0
1829,-9.0
1830,-26.0
1831,-5.0
1832,-8.0
1833,-12.0
1834,50.0
1835,-17.0
1836,102.0
1837,163.0
1838,33.0
1839,-20.0
1840,-26.0
1841,-19.0
1842,1.0
1843,-32.0
1844,4.0
1845,-3.0
1846,-13.0
1847,6.0
1848,-18.0
1849,89.0
1850,-3.0
1851,-18.0
1852,1.0
1853,-17.0
1854,-17.0
1855,-18.0
1856,-11.0
1857,-10.0
1858,-15.0
1859,-7.0
1860,421.0
1861,-17.0
1862,-12.0
1863,-6.0
1864,11.0
1865,-12.0
1866,24.0
1867,-14.0
1868,-22.0
1869,7.0
1870,15.0
1871,28.0
1872,101.0
1873,-8.0
1874,-12.0
1875,-3.0
1876,-19.0
1877,-5.0
1878,-15.0
1879,
1880,-19.0
1881,-18.0
1882,3.0
1883,-12.0
1884,-4.0
1885,41.0
1886,-11.0
1887,-13.0
1888,-17.0
1889,-2.0
1890,-5.0
1891,-3.0
1892,-5.0
1893,-3.0
1894,-14.0
1895,-3.0
1896,-22.0
1897,-18.0
1898,-6.0
1899,-10.0
1900,-13.0
1901,0.0
1902,-20.0
1903,12.0
1904,81.0
1905,5.0
1906,9.0
1907,9.0
1908,-1.0
1909,-19.0
1910,-11.0
1911,14.0
1912,14.0
1913,2.0
1914,-3.0
1915,11.0
1916,18.0
1917,148.0
1918,-11.0
1919,-13.0
1920,-18.0
1921,-9.0
1922,-9.0
1923,-27.0
1924,-20.0
1925,105.0
1926,2.0
1927,-15.0
1928,4.0
1929,-16.0
1930,-22.0
1931,-8.0
1932,9.0
1933,-13.0
1934,-7.0
1935,49.0
1936,-12.0
1937,-7.0
1938,-1.0
1939,-16.0
1940,33.0
1941,-14.0
1942,-26.0
1943,-8.0
1944,-11.0
1945,11.0
1946,-2.0
1947,-23.0
1948,-13.0
1949,-15.0
1950,-8.0
1951,-15.0
1952,-26.0
1953,-10.0
1954,-6.0
1955,1.0
